"PLANT_UNQ","YEAR","CLASS","SEEDS"
"G_12",1997,"A1",0
"G_9",1997,"A1",71.75
"H_11",1997,"A1",71.75
"H_13",1997,"A1",0
"H_16",1997,"A1",71.75
"H_19",1997,"A1",0
"H_2",1997,"A1",0
"H_8",1997,"A1",71.75
"I_5",1997,"A1",71.75
"A_3",1997,"A2",258.3
"B_14",1997,"A2",258.3
"B_7",1997,"A2",258.3
"B_9",1997,"A2",545.3
"C_17",1997,"A2",258.3
"C_4",1997,"A2",71.75
"C_8",1997,"A2",71.75
"C_9",1997,"A2",258.3
"D_14",1997,"A2",258.3
"D_18",1997,"A2",258.3
"D_19",1997,"A2",258.3
"D_24",1997,"A2",258.3
"D_8",1997,"A2",258.3
"E_3",1997,"A2",258.3
"F_22",1997,"A2",71.75
"H_4",1997,"A2",545.3
"H_9",1997,"A2",258.3
"I_8",1997,"A2",258.3
"I_9",1997,"A2",71.75
"A_2",1997,"A3",545.3
"B_19",1997,"A3",545.3
"B_5",1997,"A3",545.3
"D_1",1997,"A3",545.3
"D_28",1997,"A3",2597.35
"E_11",1997,"A3",258.3
"E_9",1997,"A3",545.3
"F_12",1997,"A3",258.3
"F_6",1997,"A3",545.3
"H_3",1997,"A3",258.3
"A_5",1997,"A4",545.3
"B_6",1997,"A4",545.3
"C_12",1997,"A4",545.3
"C_18",1997,"A4",545.3
"A_4",1997,"dead",0
"A_7",1997,"dead",0
"B_13",1997,"dead",0
"B_18",1997,"dead",0
"B_4",1997,"dead",0
"C_1",1997,"dead",0
"C_10",1997,"dead",0
"C_15",1997,"dead",0
"C_19",1997,"dead",0
"C_20",1997,"dead",0
"C_25",1997,"dead",0
"D_11",1997,"dead",0
"D_15",1997,"dead",0
"D_29",1997,"dead",0
"D_3",1997,"dead",0
"D_7",1997,"dead",0
"E_1",1997,"dead",0
"E_14",1997,"dead",0
"F_18",1997,"dead",0
"F_19",1997,"dead",0
"F_2",1997,"dead",0
"F_8",1997,"dead",0
"G_4",1997,"dead",0
"G_8",1997,"dead",0
"H_1",1997,"dead",0
"H_12",1997,"dead",0
"H_17",1997,"dead",0
"H_7",1997,"dead",0
"I_2",1997,"dead",0
"I_4",1997,"dead",0
"D_27",1997,"J",0
"F_4",1997,"J",0
"D_10",1998,"A1",258.3
"E_12",1998,"A1",0
"E_5",1998,"A1",258.3
"F_1",1998,"A1",258.3
"F_13",1998,"A1",258.3
"F_15",1998,"A1",71.75
"G_11",1998,"A1",71.75
"G_12",1998,"A1",71.75
"H_11",1998,"A1",71.75
"H_19",1998,"A1",258.3
"B_10",1998,"A2",258.3
"B_14",1998,"A2",258.3
"C_22",1998,"A2",258.3
"C_26",1998,"A2",71.75
"C_5",1998,"A2",258.3
"C_9",1998,"A2",258.3
"D_16",1998,"A2",258.3
"D_19",1998,"A2",258.3
"D_24",1998,"A2",258.3
"D_26",1998,"A2",258.3
"D_6",1998,"A2",258.3
"E_10",1998,"A2",545.3
"E_2",1998,"A2",258.3
"E_8",1998,"A2",258.3
"F_20",1998,"A2",258.3
"F_5",1998,"A2",258.3
"G_1",1998,"A2",258.3
"G_9",1998,"A2",545.3
"H_16",1998,"A2",545.3
"H_8",1998,"A2",258.3
"I_5",1998,"A2",258.3
"I_9",1998,"A2",71.75
"B_1",1998,"A3",545.3
"B_7",1998,"A3",545.3
"C_16",1998,"A3",258.3
"C_23",1998,"A3",258.3
"D_18",1998,"A3",545.3
"D_4",1998,"A3",258.3
"D_8",1998,"A3",2597.35
"E_3",1998,"A3",545.3
"F_12",1998,"A3",545.3
"F_22",1998,"A3",545.3
"H_4",1998,"A3",545.3
"H_9",1998,"A3",2597.35
"I_8",1998,"A3",545.3
"A_2",1998,"A4",2597.35
"A_3",1998,"A4",545.3
"A_5",1998,"A4",2597.35
"B_19",1998,"A4",545.3
"B_5",1998,"A4",2597.35
"B_6",1998,"A4",2597.35
"B_9",1998,"A4",2597.35
"C_12",1998,"A4",2597.35
"C_18",1998,"A4",545.3
"C_4",1998,"A4",545.3
"D_1",1998,"A4",2597.35
"D_14",1998,"A4",2597.35
"D_28",1998,"A4",2597.35
"E_11",1998,"A4",545.3
"E_9",1998,"A4",2597.35
"F_6",1998,"A4",2597.35
"H_3",1998,"A4",2597.35
"C_17",1998,"dead",0
"C_8",1998,"dead",0
"D_27",1998,"dead",0
"E_7",1998,"dead",0
"F_11",1998,"dead",0
"F_4",1998,"dead",0
"F_9",1998,"dead",0
"H_13",1998,"dead",0
"H_2",1998,"dead",0
"C_22",1999,"A1",71.75
"D_10",1999,"A1",0
"G_1",1999,"A1",258.3
"G_11",1999,"A1",0
"G_12",1999,"A1",258.3
"H_11",1999,"A1",258.3
"H_3",1999,"A1",0
"I_9",1999,"A1",0
"A_3",1999,"A2",258.3
"B_19",1999,"A2",71.75
"C_9",1999,"A2",71.75
"D_26",1999,"A2",258.3
"E_10",1999,"A2",545.3
"E_2",1999,"A2",258.3
"E_5",1999,"A2",258.3
"E_8",1999,"A2",258.3
"F_1",1999,"A2",545.3
"F_13",1999,"A2",258.3
"F_15",1999,"A2",258.3
"F_20",1999,"A2",545.3
"F_5",1999,"A2",258.3
"H_16",1999,"A2",258.3
"H_19",1999,"A2",71.75
"H_8",1999,"A2",258.3
"A_2",1999,"A3",545.3
"B_10",1999,"A3",545.3
"B_14",1999,"A3",258.3
"B_7",1999,"A3",71.75
"C_16",1999,"A3",545.3
"C_18",1999,"A3",258.3
"C_23",1999,"A3",545.3
"C_26",1999,"A3",258.3
"C_5",1999,"A3",545.3
"D_16",1999,"A3",545.3
"D_18",1999,"A3",258.3
"D_24",1999,"A3",545.3
"D_4",1999,"A3",545.3
"D_6",1999,"A3",545.3
"E_11",1999,"A3",258.3
"E_3",1999,"A3",545.3
"E_9",1999,"A3",545.3
"F_22",1999,"A3",2597.35
"F_6",1999,"A3",2597.35
"G_9",1999,"A3",545.3
"H_4",1999,"A3",2597.35
"H_9",1999,"A3",545.3
