PLANT_UNQ,YEAR,CLASS,OBS_ID,COHORT,PLANT NUM,xDIAM_cm,SEEDS_DC,MEDIAN_INFL,INFL_CLASS,MAX_INFL,OBS_INLF,SEEDS_YR_INF,CAGED,WATERED
F_7,1995,J,123,F,7,5,0,0,0,0,,,N,N
F_8,1995,J,124,F,8,4,0,0,0,0,,,N,N
F_9,1995,J,125,F,9,9,0,0,0,0,,,N,N
G_1,1995,J,139,G,1,5,0,0,0,0,,,N,N
G_10,1995,J,148,G,10,6,0,0,0,0,,,N,N
G_11,1995,J,149,G,11,7,0,0,0,0,,,N,N
G_12,1995,J,150,G,12,5,0,0,0,0,,,N,N
G_2,1995,J,140,G,2,6,0,0,0,0,,,N,N
G_3,1995,J,141,G,3,5,0,0,0,0,,,N,N
G_4,1995,J,142,G,4,9,0,0,0,0,,,N,N
G_5,1995,J,143,G,5,3,0,0,0,0,,,N,N
G_6,1995,J,144,G,6,6,0,0,0,0,,,N,N
G_7,1995,J,145,G,7,8,0,0,0,0,,,N,N
H_1,1995,J,151,H,1,6,0,0,0,0,,,N,N
H_10,1995,J,160,H,10,4,0,0,0,0,,,N,N
H_11,1995,J,161,H,11,8,0,0,0,0,,,N,N
H_14,1995,J,164,H,14,5,0,0,0,0,,,N,N
H_15,1995,J,165,H,15,7,0,0,0,0,,,N,N
H_17,1995,J,167,H,17,6,0,0,0,0,,,N,N
H_18,1995,J,168,H,18,4,0,0,0,0,,,N,N
H_19,1995,J,169,H,19,8,0,0,0,0,,,N,N
H_20,1995,J,170,H,20,10,0,0,0,0,,,N,N
H_5,1995,J,155,H,5,6,0,0,0,0,,,N,N
H_6,1995,J,156,H,6,5,0,0,0,0,,,N,N
H_7,1995,J,157,H,7,6,0,0,0,0,,,N,N
H_8,1995,J,158,H,8,8,0,0,0,0,,,N,N
I_1,1995,J,171,I,1,7,0,0,0,0,,,N,N
I_3,1995,J,173,I,3,5,0,0,0,0,,,N,N
I_4,1995,J,174,I,4,8,0,0,0,0,,,N,N
I_6,1995,J,176,I,6,5,0,0,0,0,,,N,N
I_7,1995,J,177,I,7,8,0,0,0,0,,,N,N
A_3,1996,A1,181,A,3,13,26.7,5,1,111,,,N,N
A_4,1996,A1,182,A,4,11,26.7,0,0,0,,,N,N
B_1,1996,A1,185,B,1,18,26.7,5,1,111,,,N,N
B_10,1996,A1,191,B,10,12,26.7,0,0,0,,,N,N
B_13,1996,A1,192,B,13,12,26.7,0,0,0,,,N,N
B_18,1996,A1,194,B,18,20,26.7,5,1,111,,,N,N
B_4,1996,A1,186,B,4,18,26.7,0,0,0,,,N,N
B_7,1996,A1,189,B,7,16,26.7,5,1,111,,,N,N
C_15,1996,A1,203,C,15,14,26.7,5,1,111,,,N,N
C_16,1996,A1,204,C,16,16,26.7,5,1,111,,,N,N
C_22,1996,A1,209,C,22,11,26.7,0,0,0,,,N,N
C_25,1996,A1,211,C,25,12,26.7,0,0,0,,,N,N
C_26,1996,A1,212,C,26,20,26.7,18,2,123,,,N,N
C_4,1996,A1,197,C,4,15,26.7,18,2,123,,,N,N
C_8,1996,A1,199,C,8,11,26.7,0,0,0,,,N,N
C_9,1996,A1,200,C,9,20,26.7,5,1,111,,,N,N
D_10,1996,A1,219,D,10,13,26.7,0,0,0,,,N,N
D_11,1996,A1,220,D,11,11,26.7,0,0,0,,,N,N
D_15,1996,A1,222,D,15,14,26.7,0,0,0,,,N,N
D_16,1996,A1,223,D,16,14,26.7,5,1,111,,,N,N
D_26,1996,A1,227,D,26,12,26.7,0,0,0,,,N,N
D_27,1996,A1,228,D,27,13,26.7,0,0,0,,,N,N
D_29,1996,A1,230,D,29,15,26.7,0,0,0,,,N,N
D_4,1996,A1,215,D,4,11,26.7,0,0,0,,,N,N
D_6,1996,A1,216,D,6,15,26.7,0,0,0,,,N,N
E_1,1996,A1,231,E,1,11,26.7,0,0,0,,,N,N
E_10,1996,A1,238,E,10,14,26.7,5,1,111,,,N,N
E_2,1996,A1,232,E,2,12,26.7,0,0,0,,,N,N
E_3,1996,A1,233,E,3,20,26.7,18,2,123,,,N,N
E_5,1996,A1,234,E,5,12,26.7,0,0,0,,,N,N
E_8,1996,A1,236,E,8,13,26.7,0,0,0,,,N,N
F_13,1996,A1,251,F,13,20,26.7,18,2,123,,,N,N
F_15,1996,A1,252,F,15,15,26.7,5,1,111,,,N,N
F_18,1996,A1,253,F,18,12,26.7,0,0,0,,,N,N
F_2,1996,A1,243,F,2,12,26.7,5,1,111,,,N,N
F_20,1996,A1,255,F,20,14,26.7,5,1,111,,,N,N
F_4,1996,A1,244,F,4,11,26.7,5,1,111,,,N,N
F_5,1996,A1,245,F,5,20,26.7,18,2,123,,,N,N
F_9,1996,A1,248,F,9,12,26.7,0,0,0,,,N,N
G_1,1996,A1,257,G,1,12,26.7,5,1,111,,,N,N
G_11,1996,A1,261,G,11,11,26.7,0,0,0,,,N,N
G_8,1996,A1,259,G,8,15,26.7,5,1,111,,,N,N
H_12,1996,A1,271,H,12,15,26.7,0,0,0,,,N,N
H_13,1996,A1,272,H,13,13,26.7,5,1,111,,,N,N
H_2,1996,A1,264,H,2,12,26.7,0,0,0,,,N,N
H_8,1996,A1,268,H,8,11,26.7,0,0,0,,,N,N
I_2,1996,A1,276,I,2,12,26.7,0,0,0,,,N,N
I_4,1996,A1,277,I,4,11,26.7,0,0,0,,,N,N
I_5,1996,A1,278,I,5,15,26.7,5,1,111,,,N,N
A_7,1996,A2,184,A,7,30,476.6,5,1,111,,,N,N
B_14,1996,A2,193,B,14,21,476.6,5,1,111,,,N,N
B_9,1996,A2,190,B,9,22,476.6,18,2,123,,,N,N
C_23,1996,A2,210,C,23,21,476.6,5,1,111,,,N,N
D_18,1996,A2,224,D,18,22,476.6,18,2,123,,,N,N
D_24,1996,A2,226,D,24,26,476.6,18,2,123,,,N,N
D_7,1996,A2,217,D,7,21,476.6,5,1,111,,,N,N
D_8,1996,A2,218,D,8,26,476.6,18,2,123,,,N,N
E_12,1996,A2,240,E,12,28,476.6,18,2,123,,,N,N
F_11,1996,A2,249,F,11,26,476.6,18,2,123,,,N,N
F_22,1996,A2,256,F,22,24,476.6,18,2,123,,,N,N
G_9,1996,A2,260,G,9,22,476.6,18,2,123,,,N,N
H_16,1996,A2,273,H,16,22,476.6,5,1,111,,,N,N
I_8,1996,A2,279,I,8,26,476.6,18,2,123,,,N,N
I_9,1996,A2,280,I,9,26,476.6,18,2,123,,,N,N
A_2,1996,A3,180,A,2,32,668.1,5,1,111,,,N,N
B_19,1996,A3,195,B,19,39,668.1,18,2,123,,,N,N
B_5,1996,A3,187,B,5,40,668.1,38,3,227,,,N,N
B_6,1996,A3,188,B,6,36,668.1,18,2,123,,,N,N
C_10,1996,A3,201,C,10,35,668.1,18,2,123,,,N,N
C_17,1996,A3,205,C,17,31,668.1,18,2,123,,,N,N
D_1,1996,A3,213,D,1,37,668.1,18,2,123,,,N,N
D_14,1996,A3,221,D,14,32,668.1,18,2,123,,,N,N
